,Epochs,Model type,Dropouts,Batch size,GPU's,Acc,Val. Acc,Time
0,20.0,3.0,0.0,32.0,1.0,0.0,0.39671780236525234,308.0
1,20.0,3.0,0.0,64.0,1.0,0.0,0.39172315394457347,202.0
2,20.0,3.0,0.0,128.0,1.0,0.0,0.37780948995991004,149.0
3,20.0,3.0,0.0,256.0,1.0,0.0,0.3949339992439496,129.0
4,20.0,3.0,0.0,512.0,1.0,0.0,0.4413128795047084,114.0
5,20.0,3.0,0.0,1024.0,1.0,0.0,0.5005351458538272,107.0
6,20.0,3.0,0.0,32.0,2.0,0.0,0.4056368176102681,603.0
7,20.0,3.0,0.0,64.0,2.0,0.0,0.40920442390603506,314.0
8,20.0,3.0,0.0,128.0,2.0,0.0,0.4070638590440808,188.0
9,20.0,3.0,0.0,256.0,2.0,0.0,0.3988583649306309,125.0
10,20.0,3.0,0.0,512.0,2.0,0.0,0.43988583768813305,98.0
11,20.0,3.0,0.0,1024.0,2.0,0.0,0.4673564010673534,84.0
